City/Town,Ward,Pct,"Carolyn Whitney Branagan","Brian C. Dunsmore",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Fairfax,,,165,153,6,0,324
Georgia,,,228,214,3,0,445
TOTALS,,,393,367,9,0,769
