City/Town,Ward,Pct,"Scott Milne",Write-Ins,Blanks,"Total Votes Cast"
,,,
Barnard,,,56,1,0,57
Hartford,,,58,6,0,64
Pomfret,,,33,2,0,35
TOTALS,,,147,9,0,156
