City/Town,Ward,Pct,"Rich Tarrant","Greg Parke","Eric Ericson",Write-Ins,Blanks,"Total Votes Cast"
Wilmington,,,77,14,8,1,0,100
Windham,,,7,0,3,4,0,14
Windsor,,,74,23,14,2,0,113
Winhall,,,44,1,4,0,0,49
Winooski,,,150,84,3,4,0,241
Wolcott,,,33,28,5,8,0,74
Woodbury,,,44,27,3,7,0,81
Woodford,,,13,9,4,0,0,26
Woodstock,,,159,33,16,5,0,213
Worcester,,,30,25,3,3,0,61
TOTALS,,,"22,008","10,479","1,722","1,382",0,"35,591"
