City/Town,Ward,Pct,"Paul E. Kasanoff",Write-Ins,Blanks,"Total Votes Cast"
,,,
Halifax,,,30,0,0,30
Whitingham,,,42,5,0,47
Wilmington,,,71,5,0,76
TOTALS,,,143,10,0,153
