City/Town,Ward,Pct,"David Sunderland",Write-Ins,Blanks,"Total Votes Cast"
,,,
"Rutland Town",-,"Elementary Sch",261,3,0,264
"Rutland Town",-,"Town Hall",92,1,0,93
TOTALS,,,353,4,0,357
