City/Town,Ward,Pct,"Anne B. Donahue",Write-Ins,Blanks,"Total Votes Cast"
,,,
Moretown,,,101,6,0,107
Northfield,,,361,143,0,504
Roxbury,,,35,8,0,43
TOTALS,,,497,157,0,654
