City/Town,Ward,Pct,"Patsy French","Jim Hutchinson",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Braintree,,,59,64,0,0,123
Brookfield,,,65,58,1,0,124
Granville,,,19,16,0,0,35
Randolph,,,280,263,1,0,544
TOTALS,,,423,401,2,0,826
