City/Town,Ward,Pct,"Michael J. Marcotte","Duncan Kilmartin","John K. Hall",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Coventry,,,79,49,25,2,0,155
Irasburg,,,32,38,30,1,0,101
"Newport City",,,246,246,126,2,0,620
"Newport Town",,,81,85,52,1,0,219
TOTALS,,,438,418,233,6,0,"1,095"
