City/Town,Ward,Pct,"Ira M. Pike",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridgewater,,,60,3,0,63
Chittenden,,,64,4,0,68
Killington,,,66,1,0,67
Mendon,,,84,1,0,85
TOTALS,,,274,9,0,283
