City/Town,Ward,Pct,"Scott A. Orr","Ed Stone",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Charlotte,,,323,209,5,0,537
Hinesburg,,,10,3,0,0,13
TOTALS,,,333,212,5,0,550
