City/Town,Ward,Pct,"Gregory Clark","Kitty Oxholm","Thomas L. McGrath",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Addison,,,129,80,67,1,0,277
Ferrisburgh,,,222,129,142,3,0,496
Panton,,,57,40,26,1,0,124
Vergennes,,,191,136,86,24,0,437
Waltham,,,36,20,21,1,0,78
TOTALS,,,635,405,342,30,0,"1,412"
