City/Town,Ward,Pct,"Richard J. Marek",Write-Ins,Blanks,"Total Votes Cast"
,,,
Marlboro,,,102,0,0,102
Newfane,,,180,3,0,183
Townshend,,,88,0,0,88
TOTALS,,,370,3,0,373
