City/Town,Ward,Pct,"Tom Barkley","David Atkinson","Bob Wolffe",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Braintree,,,47,56,33,8,0,144
Brookfield,,,57,48,47,6,0,158
Granville,,,3,9,6,0,0,18
Randolph,,,235,156,182,32,0,605
TOTALS,,,342,269,268,46,0,925
