City/Town,Ward,Pct,"Gerald Woodard","Jeanne Rindell",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Arlington,,,94,64,2,0,160
Rupert,,,8,4,0,0,12
Sandgate,,,21,12,0,0,33
Sunderland,,,27,18,0,0,45
TOTALS,,,150,98,2,0,250
