City/Town,Ward,Pct,"Cola H. Hudson","Richard Lawrence",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Burke,,,97,89,5,0,191
Lyndon,,,245,253,10,0,508
Sutton,,,60,54,1,0,115
TOTALS,,,402,396,16,0,814
