City/Town,Ward,Pct,"Ann Manwaring",Write-Ins,Blanks,"Total Votes Cast"
,,,
Halifax,,,23,5,0,28
Whitingham,,,45,4,0,49
Wilmington,,,72,6,0,78
TOTALS,,,140,15,0,155
