City/Town,Ward,Pct,"John Moran",Write-Ins,Blanks,"Total Votes Cast"
,,,
Dover,,,30,1,0,31
Readsboro,,,43,0,0,43
Searsburg,,,3,1,0,4
Stamford,,,27,0,0,27
Wardsboro,,,43,0,0,43
TOTALS,,,146,2,0,148
