City/Town,Ward,Pct,"Randy Brock",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,127,4,0,131
Albany,,,61,2,0,63
Alburgh,,,119,1,0,120
Andover,,,35,0,0,35
Arlington,,,119,1,0,120
Athens,,,12,0,0,12
Bakersfield,,,54,0,0,54
Baltimore,,,13,0,0,13
Barnard,,,49,0,0,49
Barnet,,,107,0,0,107
"Barre City",-,"Washington 3-1",259,6,0,265
"Barre City",-,"Washington 3-2",196,4,0,200
"Barre City",-,"Washington 3-3",27,5,0,32
"Barre Town",,,678,24,0,702
Barton,,,150,7,0,157
Belvidere,,,23,0,0,23
Bennington,-,"Bennington 2-1",170,6,0,176
Bennington,-,"Bennington 2-1 Nb",26,1,0,27
Bennington,-,"Bennington 2-2",198,0,0,198
Bennington,-,"Bennington 5",11,0,0,11
Benson,,,36,1,0,37
Berkshire,,,51,1,0,52
Berlin,,,160,2,0,162
Bethel,,,89,3,0,92
Bloomfield,,,8,0,0,8
Bolton,,,55,4,0,59
Bradford,,,143,3,0,146
Braintree,,,75,0,0,75
Brandon,,,264,0,0,264
Brattleboro,-,"Windham 3-1",89,7,0,96
Brattleboro,-,"Windham 3-2",61,2,0,63
Brattleboro,-,"Windham 3-3",61,2,0,63
Bridgewater,,,55,1,0,56
Bridport,,,142,1,0,143
Brighton,,,102,4,0,106
Bristol,,,205,3,0,208
Brookfield,,,80,1,0,81
Brookline,,,19,1,0,20
Brownington,,,33,0,0,33
Brunswick,,,10,0,0,10
Burke,,,86,0,0,86
Burlington,-,"Chittenden 3-1",416,1,0,417
Burlington,-,"Chittenden 3-2",170,3,0,173
Burlington,-,"Chittenden 3-3",104,4,0,108
Burlington,-,"Chittenden 3-4",85,3,0,88
Burlington,-,"Chittenden 3-5",275,8,0,283
Burlington,-,"Chittenden 3-6",24,1,0,25
Cabot,,,46,2,0,48
Calais,,,81,3,0,84
Cambridge,,,133,0,0,133
Canaan,,,48,0,0,48
Castleton,,,154,1,0,155
Cavendish,,,66,1,0,67
Charleston,,,43,0,0,43
Charlotte,,,184,0,0,184
Chelsea,,,114,0,0,114
Chester,,,138,0,0,138
Chittenden,,,58,3,0,61
Clarendon,,,116,1,0,117
Colchester,-,"Chittenden 7-1",251,1,0,252
Colchester,-,"Chittenden 7-2",392,4,0,396
Concord,,,48,2,0,50
Corinth,,,61,0,0,61
Cornwall,,,67,0,0,67
Coventry,,,65,1,0,66
Craftsbury,,,65,1,0,66
Danby,,,143,2,0,145
Danville,,,171,5,0,176
Derby,,,205,6,0,211
Dorset,,,114,0,0,114
Dover,,,60,0,0,60
Dummerston,,,47,0,0,47
Duxbury,,,64,1,0,65
"E. Haven",,,37,0,0,37
"E. Montpelier",,,190,3,0,193
Eden,,,57,2,0,59
Elmore,,,34,0,0,34
Enosburgh,,,85,1,0,86
Essex,-,"Chittenden 6-1",374,0,0,374
Essex,-,"Chittenden 6-2",401,5,0,406
Essex,-,"Chittenden 6-3",116,0,0,116
"Fair Haven",,,83,1,0,84
Fairfax,,,176,0,0,176
Fairfield,,,56,1,0,57
Fairlee,,,44,1,0,45
Fayston,,,39,0,0,39
Ferrisburgh,,,299,0,0,299
Fletcher,,,44,0,0,44
Franklin,,,88,1,0,89
Georgia,,,228,4,0,232
Glover,,,63,5,0,68
Goshen,,,22,1,0,23
Grafton,,,29,1,0,30
Granby,,,14,0,0,14
"Grand Isle",,,135,9,0,144
Granville,,,12,0,0,12
Greensboro,,,47,1,0,48
Groton,,,65,2,0,67
Guildhall,,,29,0,0,29
Guilford,,,53,0,0,53
Halifax,,,27,0,0,27
Hancock,,,17,0,0,17
Hardwick,,,107,3,0,110
Hartford,-,"Windsor 6-1",59,1,0,60
Hartford,-,"Windsor 6-2",162,1,0,163
Hartland,,,137,3,0,140
Highgate,,,103,6,0,109
Hinesburg,-,"Chittenden 1-1",140,0,0,140
Hinesburg,-,"Chittenden 1-2",4,0,0,4
Holland,,,39,0,0,39
Hubbardton,,,25,1,0,26
Huntington,,,68,0,0,68
"Hyde Park",,,126,1,0,127
Ira,-,"Rutland Rutland 1-1",2,0,0,2
Ira,-,"Rutland Rutland 1-2",20,0,0,20
Irasburg,,,48,2,0,50
"Isle La Motte",,,47,0,0,47
Jamaica,,,32,3,0,35
Jay,,,28,1,0,29
Jericho,,,304,2,0,306
Johnson,,,65,5,0,70
Killington,,,45,1,0,46
Kirby,,,24,1,0,25
Landgrove,,,17,0,0,17
Leicester,,,70,1,0,71
Lemington,,,7,0,0,7
Lincoln,,,89,3,0,92
Londonderry,,,61,1,0,62
Lowell,,,28,2,0,30
Ludlow,,,76,0,0,76
Lunenburg,,,83,5,0,88
Lyndon,,,218,3,0,221
Maidstone,,,19,0,0,19
Manchester,,,188,2,0,190
Marlboro,,,30,1,0,31
Marshfield,,,68,2,0,70
Mendon,,,84,0,0,84
Middlebury,,,279,1,0,280
Middlesex,,,91,1,0,92
"Middletown Springs",,,43,1,0,44
Milton,-,"Chittenden 9",325,1,0,326
Milton,-,"Grand Isle-Chittenden 1-1",65,0,0,65
Monkton,,,91,0,0,91
Montgomery,,,36,0,0,36
Montpelier,,,407,5,0,412
Moretown,,,99,0,0,99
Morgan,,,61,0,0,61
Morristown,,,207,4,0,211
"Mount Holly",,,76,0,0,76
"Mount Tabor",,,8,0,0,8
"New Haven",,,126,0,0,126
Newark,,,38,0,0,38
Newbury,-,"Center Town House",76,0,0,76
Newbury,-,"Town Office",30,0,0,30
Newbury,-,"West River Village",31,0,0,31
Newfane,,,56,0,0,56
"Newport City",,,258,4,0,262
"Newport Town",,,95,0,0,95
"N. Hero",,,73,1,0,74
Northfield,,,298,1,0,299
Norton,,,15,1,0,16
Norwich,,,58,0,0,58
Orange,,,89,2,0,91
Orwell,,,100,6,0,106
Panton,,,52,1,0,53
