City/Town,Ward,Pct,"Jim Douglas",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,148,1,0,149
Albany,,,71,4,0,75
Alburgh,,,140,2,0,142
Andover,,,42,0,0,42
Arlington,,,139,1,0,140
Athens,,,13,0,0,13
Bakersfield,,,60,1,0,61
Baltimore,,,15,0,0,15
Barnard,,,58,1,0,59
Barnet,,,127,1,0,128
"Barre City",-,"Washington 3-1",309,9,0,318
"Barre City",-,"Washington 3-2",246,7,0,253
"Barre City",-,"Washington 3-3",37,1,0,38
"Barre Town",,,748,26,0,774
Barton,,,178,4,0,182
Belvidere,,,24,1,0,25
Bennington,-,"Bennington 2-1",250,3,0,253
Bennington,-,"Bennington 2-1 Nb",39,3,0,42
Bennington,-,"Bennington 2-2",270,2,0,272
Bennington,-,"Bennington 5",11,0,0,11
Benson,,,43,0,0,43
Berkshire,,,67,1,0,68
Berlin,,,190,2,0,192
Bethel,,,103,1,0,104
Bloomfield,,,9,0,0,9
Bolton,,,68,3,0,71
Bradford,,,175,1,0,176
Braintree,,,87,2,0,89
Brandon,,,310,1,0,311
Brattleboro,-,"Windham 3-1",110,0,0,110
Brattleboro,-,"Windham 3-2",78,0,0,78
Brattleboro,-,"Windham 3-3",72,3,0,75
Bridgewater,,,63,2,0,65
Bridport,,,159,2,0,161
Brighton,,,131,0,0,131
Bristol,,,223,5,0,228
Brookfield,,,99,5,0,104
Brookline,,,20,0,0,20
Brownington,,,37,0,0,37
Brunswick,,,12,0,0,12
Burke,,,102,1,0,103
Burlington,-,"Chittenden 3-1",530,0,0,530
Burlington,-,"Chittenden 3-2",228,3,0,231
Burlington,-,"Chittenden 3-3",129,5,0,134
Burlington,-,"Chittenden 3-4",103,15,0,118
Burlington,-,"Chittenden 3-5",347,10,0,357
Burlington,-,"Chittenden 3-6",34,1,0,35
Cabot,,,51,4,0,55
Calais,,,97,2,0,99
Cambridge,,,176,7,0,183
Canaan,,,58,0,0,58
Castleton,,,173,1,0,174
Cavendish,,,74,3,0,77
Charleston,,,48,0,0,48
Charlotte,,,229,3,0,232
Chelsea,,,144,0,0,144
Chester,,,169,3,0,172
Chittenden,,,73,2,0,75
Clarendon,,,134,0,0,134
Colchester,-,"Chittenden 7-1",322,2,0,324
Colchester,-,"Chittenden 7-2",566,6,0,572
Concord,,,64,0,0,64
Corinth,,,72,0,0,72
Cornwall,,,89,0,0,89
Coventry,,,87,1,0,88
Craftsbury,,,78,1,0,79
Danby,,,153,4,0,157
Danville,,,205,4,0,209
Derby,,,245,12,0,257
Dorset,,,134,0,0,134
Dover,,,64,2,0,66
Dummerston,,,50,0,0,50
Duxbury,,,83,3,0,86
"E. Haven",,,45,0,0,45
"E. Montpelier",,,212,4,0,216
Eden,,,43,33,0,76
Elmore,,,38,1,0,39
Enosburgh,,,92,2,0,94
Essex,-,"Chittenden 6-1",484,2,0,486
Essex,-,"Chittenden 6-2",516,7,0,523
Essex,-,"Chittenden 6-3",147,1,0,148
"Fair Haven",,,92,0,0,92
Fairfax,,,205,4,0,209
Fairfield,,,62,2,0,64
Fairlee,,,58,0,0,58
Fayston,,,49,0,0,49
Ferrisburgh,,,281,0,0,281
Fletcher,,,50,1,0,51
Franklin,,,97,0,0,97
Georgia,,,259,0,0,259
Glover,,,73,5,0,78
Goshen,,,22,0,0,22
Grafton,,,31,1,0,32
Granby,,,20,0,0,20
"Grand Isle",,,188,6,0,194
Granville,,,13,0,0,13
Greensboro,,,53,1,0,54
Groton,,,78,6,0,84
Guildhall,,,42,0,0,42
Guilford,,,58,1,0,59
Halifax,,,32,0,0,32
Hancock,,,19,0,0,19
Hardwick,,,120,5,0,125
Hartford,-,"Windsor 6-1",71,0,0,71
Hartford,-,"Windsor 6-2",213,1,0,214
Hartland,,,170,0,0,170
Highgate,,,118,1,0,119
Hinesburg,-,"Chittenden 1-1",181,5,0,186
Hinesburg,-,"Chittenden 1-2",5,0,0,5
Holland,,,39,1,0,40
Hubbardton,,,32,0,0,32
Huntington,,,87,0,0,87
"Hyde Park",,,148,7,0,155
Ira,-,"Rutland Rutland 1-1",2,0,0,2
Ira,-,"Rutland Rutland 1-2",21,0,0,21
Irasburg,,,51,4,0,55
"Isle La Motte",,,51,2,0,53
Jamaica,,,45,2,0,47
Jay,,,35,0,0,35
Jericho,,,384,3,0,387
Johnson,,,83,14,0,97
Killington,,,65,1,0,66
Kirby,,,27,1,0,28
Landgrove,,,19,1,0,20
Leicester,,,79,0,0,79
Lemington,,,8,0,0,8
Lincoln,,,109,5,0,114
Londonderry,,,82,0,0,82
Lowell,,,35,2,0,37
Ludlow,,,99,1,0,100
Lunenburg,,,101,5,0,106
Lyndon,,,278,2,0,280
Maidstone,,,21,0,0,21
Manchester,,,226,2,0,228
Marlboro,,,31,1,0,32
Marshfield,,,70,8,0,78
Mendon,,,96,0,0,96
Middlebury,,,320,6,0,326
Middlesex,,,101,3,0,104
"Middletown Springs",,,53,1,0,54
Milton,-,"Chittenden 9",413,3,0,416
Milton,-,"Grand Isle-Chittenden 1-1",84,0,0,84
Monkton,,,109,0,0,109
Montgomery,,,39,3,0,42
Montpelier,,,472,13,0,485
Moretown,,,117,1,0,118
Morgan,,,73,0,0,73
Morristown,,,248,6,0,254
"Mount Holly",,,88,0,0,88
"Mount Tabor",,,10,0,0,10
"New Haven",,,132,3,0,135
Newark,,,42,3,0,45
Newbury,-,"Center Town House",84,2,0,86
Newbury,-,"Town Office",36,1,0,37
Newbury,-,"West River Village",33,1,0,34
Newfane,,,59,0,0,59
"Newport City",,,311,7,0,318
"Newport Town",,,109,3,0,112
"N. Hero",,,101,1,0,102
Northfield,,,395,5,0,400
Norton,,,18,0,0,18
Norwich,,,76,0,0,76
Orange,,,111,2,0,113
Orwell,,,116,2,0,118
Panton,,,60,0,0,60
Pawlet,,,69,0,0,69
Peacham,,,58,0,0,58
Peru,,,29,0,0,29
Pittsfield,,,60,0,0,60
Pittsford,,,148,7,0,155
Plainfield,,,58,2,0,60
Plymouth,,,29,0,0,29
Pomfret,,,48,1,0,49
Poultney,,,272,4,0,276
Pownal,,,124,3,0,127
Proctor,,,93,1,0,94
Putney,,,40,0,0,40
Randolph,,,415,8,0,423
Reading,,,32,0,0,32
Readsboro,,,28,1,0,29
Richford,,,83,2,0,85
Richmond,,,261,1,0,262
Ripton,,,18,0,0,18
Rochester,,,75,1,0,76
Rockingham,,,115,0,0,115
Roxbury,,,35,1,0,36
Royalton,,,101,2,0,103
Rupert,,,35,0,0,35
"Rutland City",-,"Rutland 5-1",234,5,0,239
"Rutland City",-,"Rutland 5-2",191,3,0,194
"Rutland City",-,"Rutland 5-3",76,6,0,82
"Rutland City",-,"Rutland 5-4",163,6,0,169
"Rutland Town",-,"Elem. School",271,0,0,271
"Rutland Town",-,"Town Hall",95,0,0,95
Ryegate,,,67,1,0,68
Salisbury,,,78,0,0,78
Sandgate,,,24,0,0,24
Searsburg,,,13,0,0,13
Shaftsbury,,,232,12,0,244
Sharon,,,55,0,0,55
Sheffield,,,38,4,0,42
Shelburne,-,"Chittenden 5-1",325,5,0,330
Shelburne,-,"Chittenden 5-2",287,2,0,289
Sheldon,,,91,1,0,92
Shoreham,,,92,1,0,93
Shrewsbury,,,75,2,0,77
"S. Burlington",-,"Chittenden 3-10",199,5,0,204
"S. Burlington",-,"Chittenden 3-7",288,1,0,289
"S. Burlington",-,"Chittenden 3-8",376,9,0,385
"S. Burlington",-,"Chittenden 3-9",327,3,0,330
"S. Hero",,,210,9,0,219
Springfield,-,"Windsor 1-1",2,0,0,2
Springfield,-,"Windsor 1-2",310,7,0,317
"St. Albans City",,,321,4,0,325
"St. Albans Town",,,381,2,0,383
"St. George",,,36,0,0,36
"St. Johnsbury",,,446,5,0,451
Stamford,,,33,0,0,33
Stannard,,,15,0,0,15
Starksboro,,,67,2,0,69
Stockbridge,,,38,0,0,38
Stowe,,,333,6,0,339
Strafford,,,45,1,0,46
Stratton,,,13,0,0,13
Sudbury,,,41,2,0,43
Sunderland,,,41,0,0,41
Sutton,,,63,1,0,64
Swanton,,,470,7,0,477
Thetford,,,82,1,0,83
Tinmouth,,,31,4,0,35
Topsham,,,87,2,0,89
Townshend,,,44,0,0,44
Troy,,,41,0,0,41
Tunbridge,,,102,5,0,107
Underhill,,,228,2,0,230
Vergennes,,,213,10,0,223
Vernon,,,160,1,0,161
Vershire,,,44,0,0,44
Victory,,,9,0,0,9
Waitsfield,,,110,1,0,111
Walden,,,54,0,0,54
Wallingford,,,111,2,0,113
Waltham,,,43,1,0,44
Wardsboro,,,30,0,0,30
Warren,,,89,3,0,92
Washington,,,74,2,0,76
Waterbury,,,226,6,0,232
Waterford,,,118,2,0,120
Waterville,,,46,0,0,46
Weathersfield,,,116,2,0,118
Wells,,,42,0,0,42
"W. Fairlee",,,28,0,0,28
"W. Haven",,,17,0,0,17
"W. Rutland",,,107,1,0,108
"W. Windsor",,,71,1,0,72
Westfield,,,46,0,0,46
Westford,,,109,1,0,110
Westminster,-,"Windham 4",4,0,0,4
Westminster,-,"Windham 5",84,0,0,84
Westmore,,,17,2,0,19
Weston,,,29,0,0,29
Weybridge,,,75,2,0,77
Wheelock,,,46,0,0,46
Whiting,,,29,0,0,29
Whitingham,,,56,0,0,56
Williamstown,,,164,10,0,174
Williston,,,619,5,0,624
Wilmington,,,83,0,0,83
Windham,,,11,0,0,11
