City/Town,Ward,Pct,"Stephen W. Webster",Write-Ins,Blanks,"Total Votes Cast"
,,,
Braintree,,,86,1,25,112
Brookfield,,,94,2,23,119
Chelsea,,,138,0,15,153
Corinth,,,63,0,16,79
Randolph,,,387,9,83,479
Strafford,,,37,1,11,49
Thetford,,,79,4,8,91
Tunbridge,,,93,2,21,116
Vershire,,,39,0,8,47
Washington,,,63,1,16,80
Williamstown,,,156,5,23,184
TOTALS,,,"1,235",25,249,"1,509"
