City/Town,Ward,Pct,"Barbara Rainville",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bristol,,,207,56,0,263
Lincoln,,,93,37,0,130
Monkton,,,96,15,0,111
Starksboro,,,62,9,0,71
TOTALS,,,458,117,0,575
