City/Town,Ward,Pct,"Kathy Lavoie","Brian K. Savage",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Sheldon,,,73,52,17,0,142
Swanton,,,380,351,23,0,754
TOTALS,,,453,403,40,0,896
