City/Town,Ward,Pct,"Sylvia R. Kennedy","Philip C. Winters",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Chelsea,,,115,117,2,0,234
Corinth,,,65,39,0,0,104
Orange,,,89,98,4,0,191
Vershire,,,42,30,0,0,72
Washington,,,60,54,1,0,115
Williamstown,,,125,157,4,0,286
TOTALS,,,496,495,11,0,"1,002"
