City/Town,Ward,Pct,"Dennis Carver","Karen Kerin",Write-Ins,Blanks,"Total Votes Cast"
Norton,,,9,8,0,0,17
Norwich,,,29,35,0,0,64
Orange,,,72,30,6,0,108
Orwell,,,61,21,15,0,97
Panton,,,36,13,1,0,50
Pawlet,,,27,24,2,0,53
Peacham,,,39,13,1,0,53
Peru,,,18,7,2,0,27
Pittsfield,,,31,22,1,0,54
Pittsford,,,66,55,5,0,126
Plainfield,,,46,17,3,0,66
Plymouth,,,15,11,0,0,26
Pomfret,,,17,23,4,0,44
Poultney,,,130,90,4,0,224
Pownal,,,77,31,3,0,111
Proctor,,,49,25,3,0,77
Putney,,,31,7,0,0,38
Randolph,,,215,143,11,0,369
Reading,,,15,12,0,0,27
Readsboro,,,15,14,0,0,29
Richford,,,51,24,3,0,78
Richmond,,,140,54,3,0,197
Ripton,,,7,5,1,0,13
Rochester,,,33,33,4,0,70
Rockingham,,,54,46,6,0,106
Roxbury,,,23,9,1,0,33
Royalton,,,66,35,1,0,102
Rupert,,,24,6,0,0,30
"Rutland City",-,"Rutland 5-1",123,73,1,0,197
"Rutland City",-,"Rutland 5-2",101,62,3,0,166
"Rutland City",-,"Rutland 5-3",32,32,1,0,65
"Rutland City",-,"Rutland 5-4",86,49,3,0,138
"Rutland Town",-,"Elem. School",155,78,1,0,234
"Rutland Town",-,"Town Hall",54,31,1,0,86
Ryegate,,,46,9,5,0,60
Salisbury,,,43,19,0,0,62
Sandgate,,,13,10,0,0,23
Searsburg,,,8,5,1,0,14
Shaftsbury,,,112,70,10,0,192
Sharon,,,19,29,2,0,50
Sheffield,,,27,7,1,0,35
Shelburne,-,"Chittenden 5-1",164,80,9,0,253
Shelburne,-,"Chittenden 5-2",148,58,19,0,225
Sheldon,,,45,18,16,0,79
Shoreham,,,38,28,2,0,68
Shrewsbury,,,39,25,1,0,65
"S. Burlington",-,"Chittenden 3-10",104,50,3,0,157
"S. Burlington",-,"Chittenden 3-7",161,42,8,0,211
"S. Burlington",-,"Chittenden 3-8",218,65,16,0,299
"S. Burlington",-,"Chittenden 3-9",178,71,6,0,255
"S. Hero",,,108,53,15,0,176
Springfield,-,"Windsor 1-1",2,1,0,0,3
Springfield,-,"Windsor 1-2",155,122,6,0,283
"St. Albans City",,,145,66,54,0,265
"St. Albans Town",,,193,82,36,0,311
"St. George",,,23,7,0,0,30
"St. Johnsbury",,,236,100,21,0,357
Stamford,,,22,8,0,0,30
Stannard,,,10,4,0,0,14
Starksboro,,,44,20,1,0,65
Stockbridge,,,19,18,0,0,37
Stowe,,,172,78,8,0,258
Strafford,,,38,0,3,0,41
Stratton,,,8,1,0,0,9
Sudbury,,,24,8,0,0,32
Sunderland,,,18,16,0,0,34
Sutton,,,42,8,2,0,52
Swanton,,,243,98,37,0,378
Thetford,,,35,37,3,0,75
Tinmouth,,,20,12,0,0,32
Topsham,,,55,22,2,0,79
Townshend,,,22,16,3,0,41
Troy,,,21,7,3,0,31
Tunbridge,,,60,35,7,0,102
Underhill,,,130,45,4,0,179
Vergennes,,,109,38,41,0,188
