City/Town,Ward,Pct,"Lucy Leriche",Write-Ins,Blanks,"Total Votes Cast"
,,,
Hardwick,,,170,2,0,172
Stannard,,,26,0,0,26
Walden,,,62,0,0,62
TOTALS,,,258,2,0,260
