City/Town,Ward,Pct,"Patti Komline",Write-Ins,Blanks,"Total Votes Cast"
,,,
Danby,,,149,2,0,151
Dorset,,,134,1,0,135
Landgrove,,,21,0,0,21
"Mount Tabor",,,9,0,0,9
Peru,,,30,0,0,30
TOTALS,,,343,3,0,346
