City/Town,Ward,Pct,"Michael Biggie","Sam Farrar","Claude Bouchard",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
"St. Albans City",,,184,151,134,48,0,517
TOTALS,,,184,151,134,48,0,517
