City/Town,Ward,Pct,"Rick Hube",Write-Ins,Blanks,"Total Votes Cast"
,,,
Jamaica,,,40,5,0,45
Londonderry,,,70,3,0,73
Stratton,,,11,0,0,11
Weston,,,30,0,0,30
Winhall,,,49,0,0,49
TOTALS,,,200,8,0,208
