City/Town,Ward,Pct,"Peter E. Herman",Write-Ins,Blanks,"Total Votes Cast"
,,,
Groton,,,32,4,0,36
Newbury,-,"Center Town House",66,3,0,69
Newbury,-,"Town Office",28,1,0,29
Newbury,-,"West River Village",18,1,0,19
Topsham,,,21,1,0,22
TOTALS,,,165,10,0,175
