City/Town,Ward,Pct,"Matt Dunne","John Patrick Tracy",Write-Ins,Blanks,"Total Votes Cast"
Westfield,,,12,5,4,0,21
Westford,,,32,62,3,0,97
Westminster,-,"Windham 4",16,3,0,0,19
Westminster,-,"Windham 5",283,53,1,0,337
Westmore,,,12,4,0,0,16
Weston,,,46,21,0,0,67
Weybridge,,,63,19,2,0,84
Wheelock,,,13,7,1,0,21
Whiting,,,29,7,6,0,42
Whitingham,,,17,23,0,0,40
Williamstown,,,47,29,8,0,84
Williston,,,235,299,3,0,537
Wilmington,,,48,23,1,0,72
Windham,,,20,8,2,0,30
Windsor,,,264,27,2,0,293
Winhall,,,26,11,0,0,37
Winooski,,,104,209,6,0,319
Wolcott,,,30,39,8,0,77
Woodbury,,,61,36,6,0,103
Woodford,,,6,10,0,0,16
Woodstock,,,417,28,2,0,447
Worcester,,,90,31,4,0,125
TOTALS,,,"19,929","13,707","1,054",0,"34,690"
