City/Town,Ward,Pct,"Gaye Symington","Bill Frank",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bolton,,,60,53,1,0,114
Jericho,,,320,282,1,0,603
Underhill,,,209,196,4,0,409
TOTALS,,,589,531,6,0,"1,126"
