City/Town,Ward,Pct,"Mark A. Macdonald",Write-Ins,Blanks,"Total Votes Cast"
,,,
Braintree,,,53,3,15,71
Brookfield,,,67,2,4,73
Chelsea,,,66,3,13,82
Corinth,,,102,0,7,109
Randolph,,,244,13,53,310
Strafford,,,190,0,25,215
Thetford,,,368,2,36,406
Tunbridge,,,76,0,3,79
Vershire,,,54,0,6,60
Washington,,,48,2,11,61
Williamstown,,,77,4,15,96
TOTALS,,,"1,345",29,188,"1,562"
