City/Town,Ward,Pct,"Thomas M. Salmon",Write-Ins,Blanks,"Total Votes Cast"
Ripton,,,62,0,0,62
Rochester,,,99,6,0,105
Rockingham,,,430,10,0,440
Roxbury,,,34,0,0,34
Royalton,,,116,3,0,119
Rupert,,,42,0,0,42
"Rutland City",-,"Rutland 5-1",174,1,0,175
"Rutland City",-,"Rutland 5-2",141,2,0,143
"Rutland City",-,"Rutland 5-3",80,3,0,83
"Rutland City",-,"Rutland 5-4",157,3,0,160
"Rutland Town",-,"Elem. School",104,1,0,105
"Rutland Town",-,"Town Hall",37,1,0,38
Ryegate,,,45,0,0,45
Salisbury,,,55,2,0,57
Sandgate,,,30,0,0,30
Searsburg,,,4,0,0,4
Shaftsbury,,,214,1,0,215
Sharon,,,106,6,0,112
Sheffield,,,23,1,0,24
Shelburne,-,"Chittenden 5-1",340,8,0,348
Shelburne,-,"Chittenden 5-2",205,6,0,211
Sheldon,,,49,9,0,58
Shoreham,,,49,1,0,50
Shrewsbury,,,62,1,0,63
"S. Burlington",-,"Chittenden 3-10",225,1,0,226
"S. Burlington",-,"Chittenden 3-7",277,5,0,282
"S. Burlington",-,"Chittenden 3-8",311,6,0,317
"S. Burlington",-,"Chittenden 3-9",248,1,0,249
"S. Hero",,,147,4,0,151
Springfield,-,"Windsor 1-1",5,0,0,5
Springfield,-,"Windsor 1-2",523,3,0,526
"St. Albans City",,,288,40,0,328
"St. Albans Town",,,188,19,0,207
"St. George",,,31,0,0,31
"St. Johnsbury",,,179,3,0,182
Stamford,,,25,0,0,25
Stannard,,,21,1,0,22
Starksboro,,,87,0,0,87
Stockbridge,,,37,0,0,37
Stowe,,,161,2,0,163
Strafford,,,182,1,0,183
Stratton,,,8,0,0,8
Sudbury,,,38,0,0,38
Sunderland,,,31,1,0,32
Sutton,,,25,0,0,25
Swanton,,,249,32,0,281
Thetford,,,328,5,0,333
Tinmouth,,,36,0,0,36
Topsham,,,19,1,0,20
Townshend,,,81,2,0,83
Troy,,,47,1,0,48
Tunbridge,,,70,1,0,71
Underhill,,,173,8,0,181
Vergennes,,,112,11,0,123
Vernon,,,72,4,0,76
Vershire,,,51,0,0,51
Victory,,,1,0,0,1
Waitsfield,,,101,1,0,102
Walden,,,50,0,0,50
Wallingford,,,105,1,0,106
Waltham,,,27,1,0,28
Wardsboro,,,39,0,0,39
Warren,,,75,3,0,78
Washington,,,46,0,0,46
Waterbury,,,201,3,0,204
Waterford,,,30,0,0,30
Waterville,,,16,0,0,16
Weathersfield,,,157,1,0,158
Wells,,,34,0,0,34
"W. Fairlee",,,32,0,0,32
"W. Haven",,,7,1,0,8
"W. Rutland",,,47,2,0,49
"W. Windsor",,,105,1,0,106
Westfield,,,21,1,0,22
Westford,,,82,1,0,83
Westminster,-,"Windham 4",21,0,0,21
Westminster,-,"Windham 5",322,2,0,324
Westmore,,,15,0,0,15
Weston,,,63,0,0,63
Weybridge,,,82,1,0,83
Wheelock,,,22,0,0,22
Whiting,,,34,4,0,38
Whitingham,,,39,0,0,39
Williamstown,,,74,6,0,80
Williston,,,459,1,0,460
Wilmington,,,63,1,0,64
Windham,,,30,1,0,31
Windsor,,,257,6,0,263
Winhall,,,36,0,0,36
Winooski,,,286,6,0,292
Wolcott,,,66,6,0,72
Woodbury,,,95,1,0,96
Woodford,,,15,0,0,15
Woodstock,,,341,3,0,344
Worcester,,,115,2,0,117
TOTALS,,,"30,428",677,0,"31,105"
