City/Town,Ward,Pct,"Andy Donaghy","Fred Maslack",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Ira,,,1,1,0,0,2
Poultney,,,192,112,2,0,306
TOTALS,,,193,113,2,0,308
