City/Town,Ward,Pct,"Linda J. Martin",Write-Ins,Blanks,"Total Votes Cast"
,,,
"Hyde Park",,,103,4,0,107
Wolcott,,,76,2,0,78
TOTALS,,,179,6,0,185
