City/Town,Ward,Pct,"Stephanie R. Sterling",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bloomfield,,,10,11,0,21
Brunswick,,,7,3,0,10
Concord,,,41,3,0,44
Granby,,,3,0,0,3
Guildhall,,,3,1,0,4
Kirby,,,19,0,0,19
Lunenburg,,,52,17,0,69
Maidstone,,,7,2,0,9
Victory,,,1,0,0,1
TOTALS,,,143,37,0,180
