City/Town,Ward,Pct,"Peter E. Barrett",Write-Ins,Blanks,"Total Votes Cast"
,,,
Dummerston,,,39,4,0,43
Putney,,,36,2,0,38
Westminster,,,69,10,0,79
TOTALS,,,144,16,0,160
