City/Town,Ward,Pct,"Richard A. Westman",Write-Ins,Blanks,"Total Votes Cast"
,,,
Belvidere,,,25,1,0,26
Cambridge,,,173,0,0,173
Waterville,,,44,0,0,44
TOTALS,,,242,1,0,243
