City/Town,Ward,Pct,"Patrick Brennan","Kathrine Niquette","Patricia L. Porter",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Colchester,,,455,306,226,5,0,992
TOTALS,,,455,306,226,5,0,992
