City/Town,Ward,Pct,"Whitney Lamy","Dick Nordmeyer",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Castleton,,,50,35,1,0,86
"Fair Haven",,,25,29,9,0,63
Hubbardton,,,8,10,2,0,20
"W. Haven",,,7,3,2,0,12
TOTALS,,,90,77,14,0,181
