City/Town,Ward,Pct,"Richard J. Howrigan","George Allard",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Fairfield,,,99,67,16,0,182
Fletcher,,,39,24,0,0,63
"St. Albans Town",,,176,179,28,0,383
TOTALS,,,314,270,44,0,628
