City/Town,Ward,Pct,"Jim Masland","Margaret Cheney","Irv Thomae",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Norwich,,,530,558,581,0,0,"1,669"
Sharon,,,95,100,37,2,0,234
Strafford,,,164,129,67,0,0,360
Thetford,,,374,150,141,2,0,667
TOTALS,,,"1,163",937,826,4,0,"2,930"
