City/Town,Ward,Pct,"Maxine Grad",Write-Ins,Blanks,"Total Votes Cast"
,,,
Moretown,,,48,0,0,48
Northfield,,,140,6,0,146
Roxbury,,,30,4,0,34
TOTALS,,,218,10,0,228
