City/Town,Ward,Pct,"Christopher A. Bray",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridport,,,29,0,0,29
"New Haven",,,45,1,0,46
Weybridge,,,26,0,0,26
TOTALS,,,100,1,0,101
