City/Town,Ward,Pct,"Thomas M. Salmon",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,30,0,0,30
Albany,,,20,0,0,20
Alburgh,,,38,0,0,38
Andover,,,20,0,0,20
Arlington,,,67,0,0,67
Athens,,,11,0,0,11
Bakersfield,,,36,0,0,36
Baltimore,,,14,0,0,14
Barnard,,,28,0,0,28
Barnet,,,38,1,0,39
"Barre City",-,"Washington 3-1",74,0,0,74
"Barre City",-,"Washington 3-2",40,3,0,43
"Barre City",-,"Washington 3-3",12,0,0,12
"Barre Town",,,140,1,0,141
Barton,,,50,1,0,51
Belvidere,,,6,0,0,6
Bennington,-,"Bennington 2-1",37,1,0,38
Bennington,-,"Bennington 2-2",2,1,0,3
Bennington,-,"Bennington 5",3,0,0,3
Benson,,,22,0,0,22
Berkshire,,,36,0,0,36
Berlin,,,59,0,0,59
Bethel,,,67,2,0,69
Bloomfield,,,14,0,0,14
Bolton,,,52,0,0,52
Bradford,,,71,0,0,71
Braintree,,,31,0,0,31
Brandon,,,80,0,0,80
Brattleboro,-,"Windham 3-1",133,2,0,135
Brattleboro,-,"Windham 3-2",143,3,0,146
Brattleboro,-,"Windham 3-3",131,5,0,136
Bridgewater,,,20,0,0,20
Bridport,,,27,1,0,28
Brighton,,,12,0,0,12
Bristol,,,86,0,0,86
Brookfield,,,29,0,0,29
Brookline,,,18,0,0,18
Brownington,,,8,0,0,8
Brunswick,,,1,0,0,1
Burke,,,24,0,0,24
Burlington,-,"Chittenden 3-1",409,2,0,411
Burlington,-,"Chittenden 3-2",199,0,0,199
Burlington,-,"Chittenden 3-3",256,4,0,260
Burlington,-,"Chittenden 3-4",177,7,0,184
Burlington,-,"Chittenden 3-5",760,6,0,766
Burlington,-,"Chittenden 3-6",52,1,0,53
Cabot,,,52,0,0,52
Calais,,,72,0,0,72
Cambridge,,,47,0,0,47
Canaan,,,15,0,0,15
Castleton,,,36,0,0,36
Cavendish,,,43,1,0,44
Charleston,,,17,0,0,17
Charlotte,,,118,1,0,119
Chelsea,,,25,0,0,25
Chester,,,143,1,0,144
Chittenden,,,31,0,0,31
Clarendon,,,80,0,0,80
Colchester,-,"Chittenden 7-1",75,0,0,75
Colchester,-,"Chittenden 7-2",72,1,0,73
Concord,,,29,0,0,29
Corinth,,,62,0,0,62
Cornwall,,,56,1,0,57
Coventry,,,14,0,0,14
Craftsbury,,,53,0,0,53
Danby,,,73,0,0,73
Danville,,,74,0,0,74
Derby,,,71,0,0,71
Dorset,,,53,0,0,53
Dover,,,35,0,0,35
Dummerston,,,257,1,0,258
Duxbury,,,68,2,0,70
"E. Haven",,,9,0,0,9
"E. Montpelier",,,85,1,0,86
Eden,,,14,1,0,15
Elmore,,,34,0,0,34
Enosburgh,,,53,2,0,55
Essex,-,"Chittenden 6-1",101,0,0,101
Essex,-,"Chittenden 6-2",126,0,0,126
Essex,-,"Chittenden 6-3",36,0,0,36
"Fair Haven",,,20,0,0,20
Fairfax,,,77,0,0,77
Fairfield,,,13,1,0,14
Fairlee,,,35,0,0,35
Fayston,,,25,0,0,25
Ferrisburgh,,,68,0,0,68
Fletcher,,,25,0,0,25
Franklin,,,30,0,0,30
Georgia,,,60,0,0,60
Glover,,,42,0,0,42
Goshen,,,17,0,0,17
Grafton,,,23,0,0,23
Granby,,,4,0,0,4
"Grand Isle",,,58,0,0,58
Granville,,,3,0,0,3
Greensboro,,,44,0,0,44
Groton,,,26,0,0,26
Guildhall,,,8,0,0,8
Guilford,,,55,1,0,56
Halifax,,,12,0,0,12
Hancock,,,8,0,0,8
Hardwick,,,44,1,0,45
Hartford,-,"Windsor 6-1",21,0,0,21
Hartford,-,"Windsor 6-2",103,0,0,103
Hartland,,,157,0,0,157
Highgate,,,45,1,0,46
Hinesburg,-,"Chittenden 1-1",128,0,0,128
Hinesburg,-,"Chittenden 1-2",3,0,0,3
Holland,,,7,0,0,7
Hubbardton,,,13,0,0,13
Huntington,,,142,0,0,142
"Hyde Park",,,37,0,0,37
Ira,-,"Rutland Rutland 1-1",0,0,0,0
Ira,-,"Rutland Rutland 1-2",16,0,0,16
Irasburg,,,20,0,0,20
"Isle La Motte",,,22,0,0,22
Jamaica,,,26,0,0,26
Jay,,,7,1,0,8
Jericho,,,159,0,0,159
Johnson,,,35,0,0,35
Killington,,,18,0,0,18
Kirby,,,4,0,0,4
Landgrove,,,5,0,0,5
Leicester,,,35,0,0,35
Lincoln,,,73,0,0,73
Londonderry,,,24,0,0,24
Lowell,,,17,0,0,17
Ludlow,,,61,0,0,61
Lunenburg,,,16,0,0,16
Lyndon,,,48,1,0,49
Maidstone,,,5,0,0,5
Manchester,,,74,0,0,74
Marlboro,,,74,0,0,74
Marshfield,,,55,1,0,56
Mendon,,,112,0,0,112
Middlebury,,,43,0,0,43
Middlesex,,,55,1,0,56
"Middletown Springs",,,31,0,0,31
Milton,-,"Chittenden 9",121,0,0,121
Milton,-,"Grand Isle-Chittenden 1-1",22,0,0,22
Monkton,,,42,0,0,42
Montgomery,,,24,0,0,24
Montpelier,,,"1,000",6,0,"1,006"
Moretown,,,44,0,0,44
Morgan,,,20,0,0,20
Morristown,,,69,3,0,72
"Mount Holly",,,55,0,0,55
"Mount Tabor",,,11,0,0,11
"New Haven",,,41,0,0,41
Newark,,,16,0,0,16
Newbury,-,"Center Town House",46,0,0,46
Newbury,-,"Town Office",16,0,0,16
Newbury,-,"West River Village",25,0,0,25
Newfane,,,59,0,0,59
"Newport City",,,59,0,0,59
"Newport Town",,,27,0,0,27
"N. Hero",,,22,0,0,22
Northfield,,,131,0,0,131
Norton,,,4,0,0,4
Norwich,,,217,0,0,217
Orange,,,6,0,0,6
Orwell,,,29,0,0,29
Panton,,,12,0,0,12
Pawlet,,,45,0,0,45
Peacham,,,64,0,0,64
Peru,,,22,0,0,22
Pittsfield,,,16,0,0,16
Pittsford,,,59,0,0,59
Plainfield,,,53,1,0,54
Plymouth,,,14,0,0,14
Pomfret,,,39,0,0,39
Poultney,,,40,0,0,40
Pownal,,,73,0,0,73
Proctor,,,51,0,0,51
Putney,,,396,2,0,398
Randolph,,,151,2,0,153
Reading,,,32,0,0,32
Readsboro,,,21,1,0,22
Richford,,,45,0,0,45
Richmond,,,258,0,0,258
Ripton,,,37,0,0,37
Rochester,,,64,3,0,67
Rockingham,,,207,0,0,207
Roxbury,,,27,0,0,27
Royalton,,,54,0,0,54
Rupert,,,37,0,0,37
"Rutland City",-,"Rutland 5-1",130,1,0,131
"Rutland City",-,"Rutland 5-2",110,1,0,111
"Rutland City",-,"Rutland 5-3",58,1,0,59
"Rutland City",-,"Rutland 5-4",63,0,0,63
"Rutland Town",,,338,1,0,339
Ryegate,,,34,0,0,34
Salisbury,,,25,0,0,25
Sandgate,,,22,0,0,22
Searsburg,,,5,0,0,5
Shaftsbury,,,25,0,0,25
Sharon,,,31,0,0,31
Sheffield,,,11,0,0,11
Shelburne,-,"Chittenden 5-1",201,0,0,201
Shelburne,-,"Chittenden 5-2",95,1,0,96
Sheldon,,,40,1,0,41
Shoreham,,,39,0,0,39
Shrewsbury,,,133,0,0,133
"S. Burlington",-,"Chittenden 3-10",127,0,0,127
"S. Burlington",-,"Chittenden 3-7",166,2,0,168
