City/Town,Ward,Pct,"Mitzi Johnson","Ira Trombley",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Alburgh,,,34,32,0,0,66
"Grand Isle",,,47,47,10,0,104
"Isle La Motte",,,21,17,0,0,38
Milton,,,22,22,1,0,45
"N. Hero",,,26,24,3,0,53
"S. Hero",,,56,50,2,0,108
TOTALS,,,206,192,16,0,414
