City/Town,Ward,Pct,"Sarah Copeland Hanzas",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bradford,,,76,1,0,77
Fairlee,,,35,0,0,35
"W. Fairlee",,,25,0,0,25
TOTALS,,,136,1,0,137
