City/Town,Ward,Pct,"Philip C. Winters","Milan M. Miller",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Chelsea,,,29,23,0,0,52
Corinth,,,27,18,1,0,46
Orange,,,23,15,2,0,40
Vershire,,,11,7,0,0,18
Washington,,,18,14,1,0,33
Williamstown,,,33,24,2,0,59
TOTALS,,,141,101,6,0,248
