City/Town,Ward,Pct,"David L. Deen","Mike Mrowicki",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Dummerston,,,232,199,132,0,563
Putney,,,351,350,210,0,911
Westminster,,,337,269,183,0,789
TOTALS,,,920,818,525,0,"2,263"
