City/Town,Ward,Pct,"Janice L. Peaslee","Joshua Bell",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bloomfield,,,12,2,1,0,15
Brunswick,,,8,6,0,0,14
Concord,,,75,55,1,0,131
Granby,,,10,7,1,0,18
Guildhall,,,26,20,0,0,46
Kirby,,,20,6,0,0,26
Lunenburg,,,48,88,0,0,136
Maidstone,,,17,8,0,0,25
Victory,,,5,0,0,0,5
TOTALS,,,221,192,3,0,416
