City/Town,Ward,Pct,"John Ike Hughes",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cornwall,,,15,0,0,15
Goshen,,,2,0,0,2
Hancock,,,3,2,0,5
Leicester,,,39,3,0,42
Ripton,,,3,0,0,3
Salisbury,,,5,1,0,6
TOTALS,,,67,6,0,73
