City/Town,Ward,Pct,"Richard Mazza",Write-Ins,Blanks,"Total Votes Cast"
,,,
Colchester,-,"Chittenden 7-1",79,1,0,80
Colchester,-,"Chittenden 7-2",82,0,0,82
"Grand Isle",,,61,1,0,62
"Isle La Motte",,,20,1,0,21
"N. Hero",,,26,0,0,26
"S. Hero",,,54,0,0,54
TOTALS,,,322,3,0,325
