City/Town,Ward,Pct,"Randy Brock","Willard Rowell",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Alburgh,,,15,9,0,0,24
Bakersfield,,,30,30,4,0,64
Berkshire,,,25,24,6,0,55
Enosburgh,,,96,116,17,0,229
Fairfax,,,60,47,0,0,107
Fairfield,,,15,13,4,0,32
Fletcher,,,3,3,0,0,6
Franklin,,,23,29,0,0,52
Georgia,,,60,53,1,0,114
Highgate,,,38,54,3,0,95
Sheldon,,,34,37,4,0,75
"St. Albans City",,,68,43,3,0,114
"St. Albans Town",,,88,83,2,0,173
Swanton,,,324,241,25,0,590
TOTALS,,,879,782,69,0,"1,730"
