City/Town,Ward,Pct,"Susan Bartlett",Write-Ins,Blanks,"Total Votes Cast"
,,,
Belvidere,,,7,0,0,7
Cambridge,,,48,0,0,48
Elmore,,,37,0,0,37
"Hyde Park",,,37,2,0,39
Johnson,,,36,2,0,38
Morristown,,,78,5,0,83
Stowe,,,34,3,0,37
Waterville,,,3,0,0,3
TOTALS,,,280,12,0,292
