City/Town,Ward,Pct,"Diane Lanpher","Jean Richardson",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,30,28,3,0,61
Ferrisburgh,,,62,59,4,0,125
Panton,,,11,7,0,0,18
Vergennes,,,38,32,5,0,75
Waltham,,,8,6,0,0,14
TOTALS,,,149,132,12,0,293
