City/Town,Ward,Pct,"Eileen Dickinson","Tracie Rivard Higgins",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Fairfield,,,12,4,11,0,27
Fletcher,,,2,5,0,0,7
"St. Albans Town",,,96,62,11,0,169
TOTALS,,,110,71,22,0,203
