City/Town,Ward,Pct,"Carolyn Schwalbe",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridgewater,,,16,1,0,17
Chittenden,,,26,0,0,26
Killington,,,15,0,0,15
Mendon,,,159,1,0,160
TOTALS,,,216,2,0,218
