City/Town,Ward,Pct,"Peggy Varney","Marguerite Burbo",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Alburgh,,,14,12,0,0,26
"Grand Isle",,,37,35,6,0,78
"Isle La Motte",,,4,5,0,0,9
Milton,,,21,19,0,0,40
"N. Hero",,,12,11,0,0,23
"S. Hero",,,27,14,3,0,44
TOTALS,,,115,96,9,0,220
