City/Town,Ward,Pct,"Ed Weissman",Write-Ins,Blanks,"Total Votes Cast"
,,,
Danby,,,64,5,0,69
Dorset,,,50,4,0,54
Landgrove,,,5,0,0,5
"Mount Tabor",,,10,0,0,10
Peru,,,20,0,0,20
TOTALS,,,149,9,0,158
