City/Town,Ward,Pct,"Marion B. Gray",Write-Ins,Blanks,"Total Votes Cast"
,,,
Calais,,,20,1,0,21
Marshfield,,,16,1,0,17
Plainfield,,,11,1,0,12
TOTALS,,,47,3,0,50
