City/Town,Ward,Pct,"Linda Day McKeever",Write-Ins,Blanks,"Total Votes Cast"
,,,
Arlington,,,42,2,0,44
Rupert,,,8,0,0,8
Sandgate,,,11,2,0,13
Sunderland,,,14,0,0,14
TOTALS,,,75,4,0,79
