City/Town,Ward,Pct,"Peter E. Perley","Sandi Murphy",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bakersfield,,,39,19,2,0,60
Enosburgh,,,136,59,11,0,206
TOTALS,,,175,78,13,0,266
