City/Town,Ward,Pct,"Lucy B. Ramsay",Write-Ins,Blanks,"Total Votes Cast"
,,,
Berkshire,,,28,41,0,69
Franklin,,,25,24,0,49
Highgate,,,39,28,0,67
Richford,,,37,34,0,71
TOTALS,,,129,127,0,256
