City/Town,Ward,Pct,"Gary Reis","Dennis Myrick","Sandra P. Grenier",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
"St. Johnsbury",,,223,171,153,2,0,549
TOTALS,,,223,171,153,2,0,549
